inchikey	smiles	source	source_id	licence	fetched	mw	clogp	hbd	hba	tpsa	rotb	heavy	total_atoms	rings	frac_csp3	pains	ro5_viol	is_fragment	also_in
AAKJLRGGTJKAMG-UHFFFAOYSA-N	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	chembl_approved	CHEMBL553	CC BY-SA 3.0	2026-09-25	393.44	3.405	1	7	74.73	10	29	52	3	0.273	0	0	0	chembl_approved:CHEMBL1079742
AAOVKJBEBIDNHE-UHFFFAOYSA-N	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	chembl_approved	CHEMBL12	CC BY-SA 3.0	2026-09-25	284.75	3.154	0	2	32.67	1	20	33	3	0.125	0	0	0	
AAQOQKQBGPPFNS-UHFFFAOYSA-N	CC[N+](C)(C)Cc1ccccc1Br	chembl_approved	CHEMBL1095292	CC BY-SA 3.0	2026-09-25	243.17	3.045	0	0	0.0	3	13	30	1	0.455	0	0	0	chembl_approved:CHEMBL1199080
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12	chembl_approved	CHEMBL990	CC BY-SA 3.0	2026-09-25	317.48	5.769	0	1	3.24	4	24	51	3	0.304	0	1	0	chembl_approved:CHEMBL1200397
ACCMWZWAEFYUGZ-UHFFFAOYSA-N	CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21	chembl_approved	CHEMBL1742423	CC BY-SA 3.0	2026-09-25	463.62	4.857	1	4	67.59	10	34	71	4	0.5	0	0	0	
ACGDKVXYNVEAGU-UHFFFAOYSA-N	N=C(N)NCCN1CCCCCCC1	chembl_approved	CHEMBL765	CC BY-SA 3.0	2026-09-25	198.31	0.736	3	2	65.14	3	14	36	1	0.9	0	0	1	chembl_approved:CHEMBL1345
ACGUYXCXAPNIKK-UHFFFAOYSA-N	Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl	chembl_approved	CHEMBL496	CC BY-SA 3.0	2026-09-25	406.91	6.609	2	2	40.46	2	21	27	2	0.077	0	1	0	
ACRHBAYQBXXRTO-OAQYLSRUSA-N	COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2	chembl_approved	CHEMBL471737	CC BY-SA 3.0	2026-09-25	468.59	3.31	0	6	60.47	10	34	70	4	0.519	0	0	0	chembl_approved:CHEMBL2145077
ACTRVOBWPAIOHC-XIXRPRMCSA-N	O=C(O)[C@@H](S)[C@@H](S)C(=O)O	chembl_approved	CHEMBL1201073	CC BY-SA 3.0	2026-09-25	182.22	-0.248	4	4	74.6	3	10	16	0	0.5	0	0	0	
ACWBQPMHZXGDFX-QFIPXVFZSA-N	CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C	chembl_approved	CHEMBL1069	CC BY-SA 3.0	2026-09-25	435.53	4.162	2	5	112.07	10	32	61	3	0.375	0	0	0	
ACWZRVQXLIRSDF-UHFFFAOYSA-N	Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21	chembl_approved	CHEMBL3187723	CC BY-SA 3.0	2026-09-25	441.23	3.011	3	5	88.41	6	27	42	3	0.176	0	0	0	
ADEBPBSSDYVVLD-UHFFFAOYSA-N	COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2	chembl_approved	CHEMBL502	CC BY-SA 3.0	2026-09-25	379.5	4.361	0	4	38.77	6	28	57	4	0.458	0	0	0	chembl_approved:CHEMBL1678
ADFOJJHRTBFFOF-RBRWEJTLSA-L	C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)([O-])[O-]	chembl_approved	CHEMBL1200721	CC BY-SA 3.0	2026-09-25	518.37	4.035	0	6	101.96	7	33	63	4	0.696	0	1	0	
ADFOJJHRTBFFOF-RBRWEJTLSA-N	C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O)O	chembl_approved	CHEMBL1756	CC BY-SA 3.0	2026-09-25	520.39	5.299	2	4	96.3	7	33	65	4	0.696	0	2	0	
ADIMAYPTOBDMTL-UHFFFAOYSA-N	O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O	chembl_approved	CHEMBL568	CC BY-SA 3.0	2026-09-25	286.72	2.448	2	3	61.69	1	20	31	3	0.067	0	0	1	
AELCINSCMGFISI-DTWKUNHWSA-N	N[C@@H]1C[C@H]1c1ccccc1	chembl_approved	CHEMBL3989698	CC BY-SA 3.0	2026-09-25	133.19	1.501	1	1	26.02	1	10	21	2	0.333	0	0	1	chembl_approved:CHEMBL3989843
AEMOLEFTQBMNLQ-WAXACMCWSA-M	O=C([O-])[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O	chembl_approved	CHEMBL2068884	CC BY-SA 3.0	2026-09-25	193.13	-4.464	4	7	130.28	1	13	22	1	0.833	0	0	0	
AEOCXXJPGCBFJA-UHFFFAOYSA-N	CCc1cc(C(N)=S)ccn1	chembl_approved	CHEMBL1441	CC BY-SA 3.0	2026-09-25	166.25	1.278	1	2	38.91	2	11	21	1	0.25	0	0	1	
AEUTYOVWOVBAKS-UWVGGRQHSA-N	CC[C@@H](CO)NCCN[C@@H](CC)CO	chembl_approved	CHEMBL44884	CC BY-SA 3.0	2026-09-25	204.31	-0.293	4	4	64.52	9	14	38	0	1.0	0	0	0	chembl_approved:CHEMBL3140361
AFCGFAGUEYAMAO-UHFFFAOYSA-M	CC(=O)NCCCS(=O)(=O)[O-]	chembl_approved	CHEMBL2068724	CC BY-SA 3.0	2026-09-25	180.2	-0.942	1	4	86.3	4	11	21	0	0.8	0	0	0	
AFCGFAGUEYAMAO-UHFFFAOYSA-N	CC(=O)NCCCS(=O)(=O)O	chembl_approved	CHEMBL1201293	CC BY-SA 3.0	2026-09-25	181.21	-0.6	2	3	83.47	4	11	22	0	0.8	0	0	1	
AFLFKFHDSCQHOL-IZZDOVSWSA-N	CSc1ccc(C(=O)/C=C/c2cc(C)c(OC(C)(C)C(=O)O)c(C)c2)cc1	chembl_approved	CHEMBL3707395	CC BY-SA 3.0	2026-09-25	384.5	5.163	1	4	63.6	7	27	51	2	0.273	0	1	0	
AFNXATANNDIXLG-UHFFFAOYSA-N	Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	chembl_approved	CHEMBL1221	CC BY-SA 3.0	2026-09-25	397.76	6.518	0	2	17.82	6	24	39	3	0.167	0	1	0	chembl_approved:CHEMBL1200348
AFZFFLVORLEPPO-UVYJNCLZSA-N	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(/C=C\c3scnc3C)CS[C@H]12)c1csc(N)n1	chembl_approved	CHEMBL454446	CC BY-SA 3.0	2026-09-25	620.74	2.298	2	14	175.4	9	41	69	4	0.4	0	2	0	
AGHANLSBXUWXTB-UHFFFAOYSA-N	O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl	chembl_approved	CHEMBL267744	CC BY-SA 3.0	2026-09-25	331.18	3.749	1	4	63.6	5	20	28	2	0.077	0	0	0	
AGMMTXLNIQSRCG-UHFFFAOYSA-N	CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1	chembl_approved	CHEMBL1532	CC BY-SA 3.0	2026-09-25	289.74	0.879	3	4	101.29	2	18	30	2	0.3	0	0	0	
AGOYDEPGAOXOCK-KCBOHYOISA-N	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O	chembl_approved	CHEMBL1741	CC BY-SA 3.0	2026-09-25	747.96	2.44	4	14	182.91	8	52	121	3	0.947	0	2	0	
AGRCPNMCOXLKFO-BDVNFPICSA-N	CN(N=O)C(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO	chembl_approved	CHEMBL1977579	CC BY-SA 3.0	2026-09-25	265.22	-3.048	5	8	159.76	7	18	33	0	0.75	0	0	0	
AHEVKYYGXVEWNO-UEPZRUIBSA-N	CN(C)[C@@H]1C(O)=C(C(=O)NCNCCCC[C@H](N)C(=O)O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12	chembl_approved	CHEMBL2103929	CC BY-SA 3.0	2026-09-25	602.64	-0.454	9	12	242.98	10	43	81	4	0.517	0	3	0	
AHFWIQIYAXSLBA-RQXATKFSSA-N	OC[C@H]1O[C@@H](c2ccc(F)c(Cc3cc4ccccc4s3)c2)[C@H](O)[C@@H](O)[C@@H]1O	chembl_approved	CHEMBL2018096	CC BY-SA 3.0	2026-09-25	404.46	2.146	4	6	90.15	4	28	49	4	0.333	0	0	0	
AHJRHEGDXFFMBM-UHFFFAOYSA-N	CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O	chembl_approved	CHEMBL189963	CC BY-SA 3.0	2026-09-25	447.54	2.966	2	8	105.04	5	33	62	5	0.458	0	0	0	
AHLBNYSZXLDEJQ-FWEHEUNISA-N	CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O	chembl_approved	CHEMBL175247	CC BY-SA 3.0	2026-09-25	495.75	6.882	1	5	81.7	23	35	88	1	0.897	0	1	0	
AHOUBRCZNHFOSL-YOEHRIQHSA-N	Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	chembl_approved	CHEMBL490	CC BY-SA 3.0	2026-09-25	329.37	3.327	1	4	39.72	4	24	44	4	0.368	0	0	0	chembl_approved:CHEMBL1200609;chembl_approved:CHEMBL6067650
AHYMHWXQRWRBKT-UHFFFAOYSA-N	CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1	chembl_approved	CHEMBL3402762	CC BY-SA 3.0	2026-09-25	492.58	4.008	0	7	96.93	7	37	65	5	0.276	0	0	0	chembl_approved:CHEMBL4594292
AHZBEVXBKNYXPU-UHFFFAOYSA-N	CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1	chembl_approved	CHEMBL1098285	CC BY-SA 3.0	2026-09-25	416.52	2.457	0	4	66.84	9	30	62	2	0.455	0	0	0	chembl_approved:CHEMBL1199307
AIJTTZAVMXIJGM-UHFFFAOYSA-N	Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1	chembl_approved	CHEMBL583	CC BY-SA 3.0	2026-09-25	359.4	2.28	2	4	74.57	3	26	48	4	0.474	0	0	0	chembl_approved:CHEMBL1200393
AILRADAXUVEEIR-UHFFFAOYSA-N	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1	chembl_approved	CHEMBL3545311	CC BY-SA 3.0	2026-09-25	584.11	5.09	2	9	85.86	8	40	79	5	0.448	0	2	0	
AJIPIJNNOJSSQC-NYLIRDPKSA-N	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1[C@@H](O)[C@@H](O)[C@@H]2O	chembl_approved	CHEMBL1230314	CC BY-SA 3.0	2026-09-25	304.39	1.551	4	4	80.92	0	22	46	4	0.667	0	0	0	chembl_approved:CHEMBL6068423
AJKIRUJIDFJUKJ-UHFFFAOYSA-N	O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1	chembl_approved	CHEMBL2105420	CC BY-SA 3.0	2026-09-25	284.36	-2.671	2	6	98.82	2	17	33	2	1.0	0	0	0	
AJXPJJZHWIXJCJ-UHFFFAOYSA-N	CN1C(=O)CC(C)(c2ccccc2)C1=O	chembl_approved	CHEMBL697	CC BY-SA 3.0	2026-09-25	203.24	1.333	0	2	37.38	1	15	28	2	0.333	0	0	1	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C	chembl_approved	CHEMBL364713	CC BY-SA 3.0	2026-09-25	413.43	2.882	0	8	75.69	4	30	53	5	0.409	0	0	0	chembl_approved:CHEMBL2106732
AKUJBENLRBOFTD-QZIXMDIESA-N	CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C	chembl_approved	CHEMBL1200538	CC BY-SA 3.0	2026-09-25	434.5	2.467	2	6	100.9	3	31	62	4	0.708	0	0	0	
AKUJBENLRBOFTD-RPRRAYFGSA-N	CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C	chembl_approved	CHEMBL1530428	CC BY-SA 3.0	2026-09-25	434.5	2.467	2	6	100.9	3	31	62	4	0.708	0	0	0	
ALARQZQTBTVLJV-UHFFFAOYSA-N	CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O	chembl_approved	CHEMBL45029	CC BY-SA 3.0	2026-09-25	246.27	1.043	1	3	66.48	2	18	32	2	0.308	0	0	1	
ALELTFCQZDXAMQ-UHFFFAOYSA-N	CC(CC1c2ccccc2CCc2ccccc21)CN(C)C	chembl_approved	CHEMBL2110816	CC BY-SA 3.0	2026-09-25	293.45	4.505	0	1	3.24	4	22	49	3	0.429	0	0	0	
ALEXXDVDDISNDU-JZYPGELDSA-N	CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C	chembl_approved	CHEMBL1091	CC BY-SA 3.0	2026-09-25	404.5	2.352	2	6	100.9	3	29	61	4	0.783	0	0	0	
ALOBUEHUHMBRLE-UHFFFAOYSA-N	CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1	chembl_approved	CHEMBL533	CC BY-SA 3.0	2026-09-25	384.59	4.164	2	4	69.64	14	26	62	1	0.7	0	0	0	chembl_approved:CHEMBL2355456
ALWKGYPQUAPLQC-UHFFFAOYSA-N	CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1	chembl_approved	CHEMBL278020	CC BY-SA 3.0	2026-09-25	223.3	1.944	0	2	29.54	2	16	35	1	0.417	0	0	1	chembl_approved:CHEMBL211471
AMDBBAQNWSUWGN-UHFFFAOYSA-N	O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I	chembl_approved	CHEMBL1200614	CC BY-SA 3.0	2026-09-25	807.11	-2.016	8	9	199.89	12	33	57	1	0.5	0	2	0	
AMKVXSZCKVJAGH-UHFFFAOYSA-N	CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1	chembl_approved	CHEMBL1278	CC BY-SA 3.0	2026-09-25	335.47	2.069	2	3	65.2	5	23	48	3	0.529	0	0	0	chembl_approved:CHEMBL1200601
ANGKOCUUWGHLCE-UHFFFAOYSA-N	C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1	chembl_approved	CHEMBL1201027	CC BY-SA 3.0	2026-09-25	318.44	2.456	1	3	46.53	4	23	51	3	0.632	0	0	0	chembl_approved:CHEMBL1201335;chembl_approved:CHEMBL3707243
ANTSCNMPPGJYLG-UHFFFAOYSA-N	CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1	chembl_approved	CHEMBL451	CC BY-SA 3.0	2026-09-25	299.76	2.951	1	3	50.46	1	21	35	3	0.125	0	0	1	chembl_approved:CHEMBL1200703
AOJJSUZBOXZQNB-TZSSRYMLSA-N	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1	chembl_approved	CHEMBL53463	CC BY-SA 3.0	2026-09-25	543.53	0.001	6	12	206.07	5	39	68	5	0.444	1	3	0	chembl_approved:CHEMBL359744
AOJJSUZBOXZQNB-VTZDEGQISA-N	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1	chembl_approved	CHEMBL417	CC BY-SA 3.0	2026-09-25	543.53	0.001	6	12	206.07	5	39	68	5	0.444	1	3	0	chembl_approved:CHEMBL1200981
AOMXMOCNKJTRQP-UHFFFAOYSA-N	CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1	chembl_approved	CHEMBL1800159	CC BY-SA 3.0	2026-09-25	623.64	3.751	2	9	132.61	9	44	71	5	0.207	0	1	0	
AOXRBFRFYPMWLR-XGXHKTLJSA-N	CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C	chembl_approved	CHEMBL1200623	CC BY-SA 3.0	2026-09-25	288.48	5.09	1	1	20.23	1	21	53	4	0.9	0	1	0	
APBSKHYXXKHJFK-UHFFFAOYSA-N	O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1	chembl_approved	CHEMBL1909282	CC BY-SA 3.0	2026-09-25	253.71	3.091	1	3	50.19	3	16	24	2	0.091	0	0	0	
AQCHWTWZEMGIFD-UHFFFAOYSA-N	Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C	chembl_approved	CHEMBL878	CC BY-SA 3.0	2026-09-25	365.84	2.714	2	4	92.5	2	24	40	3	0.188	0	0	0	
AQHHHDLHHXJYJD-UHFFFAOYSA-N	CC(C)NCC(O)COc1cccc2ccccc12	chembl_approved	CHEMBL27	CC BY-SA 3.0	2026-09-25	259.35	2.578	2	3	41.49	6	19	40	2	0.375	0	0	1	chembl_approved:CHEMBL1671
AQIXAKUUQRKLND-UHFFFAOYSA-N	CN/C(=N\CCSCc1nc[nH]c1C)NC#N	chembl_approved	CHEMBL30	CC BY-SA 3.0	2026-09-25	252.35	0.597	3	4	88.89	5	17	33	1	0.5	1	0	0	chembl_approved:CHEMBL1201051
AQNDDEOPVVGCPG-UHFFFAOYSA-N	COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1	chembl_approved	CHEMBL768	CC BY-SA 3.0	2026-09-25	295.38	1.53	2	5	67.79	9	21	46	1	0.562	0	0	0	chembl_approved:CHEMBL1201115
AQOKCDNYWBIDND-FTOWTWDKSA-N	CCNC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O	chembl_approved	CHEMBL1200963	CC BY-SA 3.0	2026-09-25	415.57	3.147	4	4	89.79	12	30	67	2	0.56	0	0	0	
ARAIBEBZBOPLMB-UFGQHTETSA-N	CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N	chembl_approved	CHEMBL222813	CC BY-SA 3.0	2026-09-25	332.31	-3.576	8	7	198.22	6	23	43	1	0.583	0	1	0	chembl_approved:CHEMBL5315117
ARFHIAQFJWUCFH-IZZDOVSWSA-N	CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1	chembl_approved	CHEMBL290960	CC BY-SA 3.0	2026-09-25	287.3	0.641	0	7	106.02	3	19	32	2	0.5	0	0	0	
ARHWPKZXBHOEEE-UHFFFAOYSA-N	C=CCOc1ccc(CC(=O)O)cc1Cl	chembl_approved	CHEMBL94081	CC BY-SA 3.0	2026-09-25	226.66	2.532	1	2	46.53	5	15	26	1	0.182	0	0	1	
ASKZRYGFUPSJPN-UHFFFAOYSA-N	Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1	chembl_approved	CHEMBL4297528	CC BY-SA 3.0	2026-09-25	401.47	1.963	1	6	79.83	2	30	53	6	0.364	0	0	0	
ASMXXROZKSBQIH-VITNCHFBSA-N	O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1	chembl_approved	CHEMBL551466	CC BY-SA 3.0	2026-09-25	484.66	4.667	1	6	55.76	9	33	63	6	0.423	0	0	0	chembl_approved:CHEMBL1194325
ASOADIZOVZTJSR-UHFFFAOYSA-N	Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1	chembl_approved	CHEMBL1089318	CC BY-SA 3.0	2026-09-25	413.17	3.28	2	8	149.46	3	27	37	3	0.133	1	0	0	
ASUTZQLVASHGKV-JDFRZJQESA-N	COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2	chembl_approved	CHEMBL659	CC BY-SA 3.0	2026-09-25	287.36	1.85	1	4	41.93	1	21	42	4	0.529	0	0	0	chembl_approved:CHEMBL1555
ASWVTGNCAZCNNR-UHFFFAOYSA-N	Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1	chembl_approved	CHEMBL446	CC BY-SA 3.0	2026-09-25	278.34	1.476	2	5	97.97	3	19	33	2	0.167	0	0	0	
ASXBYYWOLISCLQ-HZYVHMACSA-N	CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O	chembl_approved	CHEMBL1950576	CC BY-SA 3.0	2026-09-25	583.6	-7.948	15	15	334.59	9	40	81	3	0.905	0	3	0	
ATALOFNDEOCMKK-OITMNORJSA-N	C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	chembl_approved	CHEMBL1471	CC BY-SA 3.0	2026-09-25	534.43	4.952	2	5	83.24	6	37	58	4	0.391	0	1	0	
ATEBXHFBFRCZMA-VXTBVIBXSA-N	CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O	chembl_approved	CHEMBL444633	CC BY-SA 3.0	2026-09-25	847.02	4.616	5	14	205.55	4	61	123	6	0.587	1	2	0	
AUFUWRKPQLGTGF-FMKGYKFTSA-N	CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O	chembl_approved	CHEMBL2107381	CC BY-SA 3.0	2026-09-25	370.31	-1.139	1	9	142.99	5	26	44	2	0.533	0	0	0	
AUNGANRZJHBGPY-SCRDCRAPSA-N	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C	chembl_approved	CHEMBL1534	CC BY-SA 3.0	2026-09-25	376.37	-1.724	5	8	161.56	5	27	47	3	0.412	0	0	0	
AURFZBICLPNKBZ-SYBPFIFISA-N	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	chembl_approved	CHEMBL207538	CC BY-SA 3.0	2026-09-25	318.5	4.595	1	2	37.3	1	23	57	4	0.952	0	0	0	
AUVVAXYIELKVAI-CKBKHPSWSA-N	CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21	chembl_approved	CHEMBL50588	CC BY-SA 3.0	2026-09-25	480.65	4.943	1	6	52.19	7	35	75	5	0.586	0	0	0	
AUYYCJSJGJYCDS-LBPRGKRZSA-M	N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]	chembl_approved	CHEMBL1201119	CC BY-SA 3.0	2026-09-25	649.97	2.618	2	5	95.61	5	23	34	2	0.133	0	1	0	
AUYYCJSJGJYCDS-LBPRGKRZSA-N	N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O	chembl_approved	CHEMBL1544	CC BY-SA 3.0	2026-09-25	650.98	3.953	3	4	92.78	5	23	35	2	0.133	0	1	0	
AUZONCFQVSMFAP-UHFFFAOYSA-N	CCN(CC)C(=S)SSC(=S)N(CC)CC	chembl_approved	CHEMBL964	CC BY-SA 3.0	2026-09-25	296.55	3.621	0	4	6.48	4	16	36	0	0.8	0	0	0	
AVAACINZEOAHHE-VFZPANTDSA-N	C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12	chembl_approved	CHEMBL491571	CC BY-SA 3.0	2026-09-25	420.51	-1.603	5	7	162.06	7	27	51	3	0.733	0	0	0	chembl_approved:CHEMBL4303454
AVKHCKXGKPAGEI-UHFFFAOYSA-N	NC(=O)NNc1ccccc1	chembl_approved	CHEMBL1593719	CC BY-SA 3.0	2026-09-25	151.17	0.682	3	2	67.15	2	11	20	1	0.0	0	0	1	
AVKUERGKIZMTKX-NJBDSQKTSA-M	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-]	chembl_approved	CHEMBL1200758	CC BY-SA 3.0	2026-09-25	348.4	-1.017	2	6	115.56	4	24	42	3	0.438	0	0	0	
AVKUERGKIZMTKX-NJBDSQKTSA-N	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O	chembl_approved	CHEMBL174	CC BY-SA 3.0	2026-09-25	349.41	0.318	3	5	112.73	4	24	43	3	0.438	0	0	0	
AVOLMBLBETYQHX-UHFFFAOYSA-M	C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl	chembl_approved	CHEMBL1200487	CC BY-SA 3.0	2026-09-25	302.13	2.271	0	4	66.43	6	19	30	1	0.231	0	0	0	
AVOLMBLBETYQHX-UHFFFAOYSA-N	C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl	chembl_approved	CHEMBL456	CC BY-SA 3.0	2026-09-25	303.14	3.606	1	3	63.6	6	19	31	1	0.231	0	0	0	
AXOIZCJOOAYSMI-UHFFFAOYSA-N	C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C	chembl_approved	CHEMBL703	CC BY-SA 3.0	2026-09-25	290.4	0.265	0	4	52.6	9	20	50	0	0.857	0	0	0	chembl_approved:CHEMBL983
